user_id,article_id,time,operation
1,1879,2023-06-03,view
1,2052,2023-06-07,view
1,1901,2023-06-19,star
1,1786,2023-06-22,view
1,1832,2023-06-29,view
1,560,2023-07-02,view
1,2049,2023-07-09,view
1,1265,2023-07-15,star
1,2047,2023-07-22,view
1,2,2023-07-27,view
1,1923,2023-08-01,view
1,1802,2023-08-10,view
1,213,2023-08-15,star
1,2008,2023-08-21,view
1,1803,2023-08-26,view
2,976,2023-06-04,view
2,759,2023-06-09,view
2,743,2023-06-16,view
2,1989,2023-06-20,view
2,813,2023-06-25,star
2,964,2023-07-01,view
2,934,2023-07-05,view
2,789,2023-07-12,view
2,949,2023-07-22,star
2,123,2023-07-28,view
2,753,2023-08-02,view
2,486,2023-08-09,view
2,766,2023-08-16,view
2,761,2023-08-20,view
2,746,2023-08-27,view
3,2223,2023-06-05,view
3,2255,2023-06-11,view
3,2224,2023-06-15,view
3,2274,2023-06-22,view
3,1985,2023-06-27,star
3,1807,2023-07-04,view
3,2165,2023-07-10,view
3,456,2023-07-16,view
3,2087,2023-07-23,view
3,2183,2023-07-30,star
3,200,2023-08-06,view
3,1903,2023-08-12,view
3,2087,2023-08-19,view
3,2062,2023-08-25,view
3,2275,2023-08-29,view
4,342,2023-06-06,view
4,223,2023-06-12,view
4,389,2023-06-17,view
4,271,2023-06-24,star
4,272,2023-06-30,view
4,5,2023-07-05,view
4,398,2023-07-11,view
4,268,2023-07-18,view
4,1405,2023-07-25,view
4,16,2023-08-01,view
4,31,2023-08-07,view
4,267,2023-08-14,star
4,413,2023-08-21,view
4,197,2023-08-28,view
4,301,2023-08-31,view
5,1188,2023-06-07,view
5,1417,2023-06-14,star
5,495,2023-06-20,view
5,1302,2023-06-26,view
5,1379,2023-07-04,view
5,646,2023-07-12,view
5,1191,2023-07-19,view
5,1194,2023-07-25,view
5,1369,2023-08-01,view
5,1198,2023-08-08,star
5,1195,2023-08-15,view
5,1342,2023-08-23,view
5,1206,2023-08-29,view
5,1386,2023-08-31,view
5,2133,2023-09-01,star